-81 -2				    0.275547 448
-81 0				    0.277159 465
-81 2				    0.270974 444
-81 4				    0.273029 394
-81 6				    0.274665 331
-81 8				    0.272828 338
-81 10				    0.273352 332
-81 12				    0.274228 335
-81 14				    0.274376 348
-81 16				    0.272775 329
-81 18				    0.273201 349
-81 20				    0.274841 333
-81 22				    0.273175 339
-81 24				    0.274471 328
-79 -24.			    0.270018 325
-79 -22				    0.272208 367
-79 -20				    0.275267 316
-79 -18				    0.273884 346
-79 -16				    0.272604 319
-79 -14				    0.276915 343
-79 -12				    0.273901 343
-79 -10				    0.274734 349
-79 -8				    0.27736  320
-79 -6				    0.271658 356
-79 -4				    0.275669 349
-79 -2				    0.273067 421
-79 0				    0.27245  400
-79 2				    0.27341  432
-79 4				    0.276718 390
-79 6				    0.273786 350
-79 8				    0.271552 372
-79 10				    0.270815 304
-79 12				    0.273792 321
-79 14				    0.272805 338
-79 16				    0.274235 334
-79 18				    0.274291 356
-79 20				    0.277405 314
-79 22				    0.275349 318
-79 24				    0.274167 321
-77 -24.			    0.277079 372
-77 -22				    0.277265 339
-77 -20				    0.276959 354
-77 -18				    0.274027 329
-77 -16				    0.274916 319
-77 -14				    0.273355 355
-77 -12				    0.269932 334
-77 -10				    0.271543 319
-77 -8				    0.278214 355
-77 -6				    0.273598 312
-77 -4				    0.276625 354
-77 -2				    0.273077 426
-77 0				    0.274374 433
-77 2				    0.272385 422
-77 4				    0.274463 354
-77 6				    0.271546 322
-77 8				    0.27487  365
-77 10				    0.273008 344
-77 12				    0.276246 341
-77 14				    0.280978 373
-77 16				    0.27569  339
-77 18				    0.275389 368
-77 20				    0.276284 369
-77 22				    0.274856 353
-77 24				    0.271543 374
-75 -24.			    0.276615 361
-75 -22				    0.271975 332
-75 -20				    0.271965 317
-75 -18				    0.277063 325
-75 -16				    0.277288 337
-75 -14				    0.271858 329
-75 -12				    0.274124 365
-75 -10				    0.276406 325
-75 -8				    0.269437 317
-75 -6				    0.276664 359
-75 -4				    0.272894 380
-75 -2				    0.277756 366
-75 0				    0.272229 364
-75 2				    0.27098  372
-75 4				    0.276608 353
-75 6				    0.273017 320
-75 8				    0.274002 324
-75 10				    0.271743 325
-75 12				    0.273926 387
-75 14				    0.275617 358
-75 16				    0.268526 375
-75 18				    0.275132 353
-75 20				    0.276617 339
-75 22				    0.272274 357
-75 24				    0.271308 328
-73 -24.			    0.278997 355
-73 -22				    0.27244  345
-73 -20				    0.272039 383
-73 -18				    0.277352 346
-73 -16				    0.271945 359
-73 -14				    0.276843 359
-73 -12				    0.277829 363
-73 -10				    0.278116 372
